Season,Date,Month,Home Team,Away Team,Result FullTime,Result HalfTime,HomeGoals FullTime,AwayGoals FullTime,HomeGoals HalfTime,AwyaGoals HalfTime,HomeCard Red,AwayCard Red,HomeCard Yellow,AwayCard Yellow,Validation,,
2013/2014,9/30/2013,September,Everton,Newcastle,H,H,3,2,3,0,0,0,3,1,T,,
2013/2014,10/5/2013,October,Cardiff,Newcastle,A,A,1,2,0,2,0,0,1,0,T,,
2013/2014,10/5/2013,October,Fulham,Stoke,H,D,1,0,0,0,0,0,3,2,T,,
2013/2014,10/5/2013,October,Hull,Aston Villa,D,D,0,0,0,0,0,0,2,1,T,,
2013/2014,10/5/2013,October,Liverpool,Crystal Palace,H,H,3,1,3,0,0,0,2,1,T,,
2013/2014,10/5/2013,October,Man City,Everton,H,H,3,1,2,1,0,0,5,4,T,,
2013/2014,10/5/2013,October,Sunderland,Man United,A,H,1,2,1,0,0,0,2,4,T,,
2013/2014,10/6/2013,October,Norwich,Chelsea,A,A,1,3,0,1,0,0,1,1,T,,
2013/2014,10/6/2013,October,Southampton,Swansea,H,H,2,0,1,0,0,0,3,1,T,,
2013/2014,10/6/2013,October,Tottenham,West Ham,A,D,0,3,0,0,0,0,0,0,T,,
2013/2014,10/6/2013,October,West Brom,Arsenal,D,H,1,1,1,0,0,0,1,2,T,,
2013/2014,10/19/2013,October,Arsenal,Norwich,H,H,4,1,1,0,0,0,0,0,T,,
2013/2014,10/19/2013,October,Chelsea,Cardiff,H,D,4,1,1,1,0,0,1,2,T,,
2013/2014,10/19/2013,October,Everton,Hull,H,D,2,1,1,1,0,0,3,1,T,,
2013/2014,10/19/2013,October,Man United,Southampton,D,H,1,1,1,0,0,0,2,3,T,,
2013/2014,10/19/2013,October,Newcastle,Liverpool,D,D,2,2,1,1,1,0,2,3,T,,
2013/2014,10/19/2013,October,Stoke,West Brom,D,D,0,0,0,0,0,0,1,0,T,,
2013/2014,10/19/2013,October,Swansea,Sunderland,H,D,4,0,0,0,0,0,1,2,T,,
2013/2014,10/19/2013,October,West Ham,Man City,A,A,1,3,0,1,0,0,1,2,T,,
2013/2014,10/20/2013,October,Aston Villa,Tottenham,A,A,0,2,0,1,0,0,3,4,T,,
2013/2014,10/21/2013,October,Crystal Palace,Fulham,A,A,1,4,1,2,0,0,0,1,T,,
2013/2014,10/26/2013,October,Aston Villa,Everton,A,D,0,2,0,0,0,0,0,2,T,,
2013/2014,10/26/2013,October,Crystal Palace,Arsenal,A,D,0,2,0,0,0,1,0,0,T,,
2013/2014,10/26/2013,October,Liverpool,West Brom,H,H,4,1,2,0,0,0,0,2,T,,
2013/2014,10/26/2013,October,Man United,Stoke,H,A,3,2,1,2,0,0,2,6,T,,
2013/2014,10/26/2013,October,Norwich,Cardiff,D,D,0,0,0,0,0,0,1,1,T,,
2013/2014,10/26/2013,October,Southampton,Fulham,H,H,2,0,2,0,0,0,0,2,T,,
2013/2014,10/27/2013,October,Chelsea,Man City,H,H,2,1,1,0,0,0,2,3,T,,
2013/2014,10/27/2013,October,Sunderland,Newcastle,H,H,2,1,1,0,0,0,1,1,T,,
2013/2014,10/27/2013,October,Swansea,West Ham,D,D,0,0,0,0,0,0,1,3,T,,
2013/2014,10/27/2013,October,Tottenham,Hull,H,D,1,0,0,0,0,0,3,3,T,,
2013/2014,11/2/2013,November,Arsenal,Liverpool,H,H,2,0,1,0,0,0,2,1,T,,
2013/2014,11/2/2013,November,Fulham,Man United,A,A,1,3,0,3,0,0,2,1,T,,
2013/2014,11/2/2013,November,Hull,Sunderland,H,H,1,0,1,0,0,2,2,0,T,,
2013/2014,11/2/2013,November,Man City,Norwich,H,H,7,0,4,0,0,0,1,1,T,,
2013/2014,11/2/2013,November,Newcastle,Chelsea,H,D,2,0,0,0,0,0,2,2,T,,
2013/2014,11/2/2013,November,Stoke,Southampton,D,D,1,1,1,1,0,0,3,1,T,,
2013/2014,11/2/2013,November,West Brom,Crystal Palace,H,H,2,0,1,0,0,0,0,1,T,,
2013/2014,11/2/2013,November,West Ham,Aston Villa,D,D,0,0,0,0,0,0,0,2,T,,
2013/2014,11/3/2013,November,Cardiff,Swansea,H,D,1,0,0,0,0,1,1,1,T,,
2013/2014,11/3/2013,November,Everton,Tottenham,D,D,0,0,0,0,0,0,4,1,T,,
2013/2014,11/9/2013,November,Aston Villa,Cardiff,H,D,2,0,0,0,0,0,1,1,T,,
2013/2014,11/9/2013,November,Chelsea,West Brom,D,H,2,2,1,0,0,0,3,7,T,,
2013/2014,11/9/2013,November,Crystal Palace,Everton,D,D,0,0,0,0,0,0,1,0,T,,
2013/2014,11/9/2013,November,Liverpool,Fulham,H,H,4,0,3,0,0,0,0,1,T,,
2013/2014,11/9/2013,November,Norwich,West Ham,H,A,3,1,0,1,0,0,1,1,T,,
2013/2014,11/9/2013,November,Southampton,Hull,H,H,4,1,3,0,0,0,1,2,T,,
