Season,Date,Month,Home Team,Away Team,Result FullTime,Result HalfTime,HomeGoals FullTime,AwayGoals FullTime,HomeGoals HalfTime,AwyaGoals HalfTime,HomeCard Red,AwayCard Red,HomeCard Yellow,AwayCard Yellow,Validation,,
2014/2015,3/4/2015,March,Newcastle,Man United,A,D,0,1,0,0,0,0,1,2,T,,
2014/2015,3/4/2015,March,QPR,Arsenal,A,D,1,2,0,0,0,0,2,1,T,,
2014/2015,3/4/2015,March,Stoke,Everton,H,H,2,0,1,0,0,0,2,2,T,,
2014/2015,3/4/2015,March,Tottenham,Swansea,H,D,3,2,1,1,0,0,1,0,T,,
2014/2015,3/4/2015,March,West Ham,Chelsea,A,A,0,1,0,1,0,0,3,4,T,,
2014/2015,3/7/2015,March,QPR,Tottenham,A,A,1,2,0,1,0,0,1,2,T,,
2014/2015,3/14/2015,March,Arsenal,West Ham,H,H,3,0,1,0,0,0,1,1,T,,
2014/2015,3/14/2015,March,Burnley,Man City,H,D,1,0,0,0,0,0,2,1,T,,
2014/2015,3/14/2015,March,Crystal Palace,QPR,H,H,3,1,3,0,0,0,1,3,T,,
2014/2015,3/14/2015,March,Leicester,Hull,D,D,0,0,0,0,0,1,0,4,T,,
2014/2015,3/14/2015,March,Sunderland,Aston Villa,A,A,0,4,0,4,0,0,1,1,T,,
2014/2015,3/14/2015,March,West Brom,Stoke,H,H,1,0,1,0,0,0,1,2,T,,
2014/2015,3/15/2015,March,Chelsea,Southampton,D,D,1,1,1,1,0,0,3,3,T,,
2014/2015,3/15/2015,March,Everton,Newcastle,H,H,3,0,1,0,0,1,1,2,T,,
2014/2015,3/15/2015,March,Man United,Tottenham,H,H,3,0,3,0,0,0,1,1,T,,
2014/2015,3/16/2015,March,Swansea,Liverpool,A,D,0,1,0,0,0,0,0,3,T,,
2014/2015,3/21/2015,March,Aston Villa,Swansea,A,D,0,1,0,0,0,0,0,0,T,,
2014/2015,3/21/2015,March,Man City,West Brom,H,H,3,0,2,0,0,1,0,0,T,,
2014/2015,3/21/2015,March,Newcastle,Arsenal,A,A,1,2,0,2,0,0,0,0,T,,
2014/2015,3/21/2015,March,Southampton,Burnley,H,H,2,0,1,0,0,0,0,0,T,,
2014/2015,3/21/2015,March,Stoke,Crystal Palace,A,A,1,2,1,2,0,0,3,4,T,,
2014/2015,3/21/2015,March,Tottenham,Leicester,H,H,4,3,2,1,0,0,2,1,T,,
2014/2015,3/21/2015,March,West Ham,Sunderland,H,D,1,0,0,0,0,0,0,1,T,,
2014/2015,3/22/2015,March,Hull,Chelsea,A,D,2,3,2,2,0,0,0,2,T,,
2014/2015,3/22/2015,March,Liverpool,Man United,A,A,1,2,0,1,1,0,2,2,T,,
2014/2015,3/22/2015,March,QPR,Everton,A,A,1,2,0,1,0,0,2,1,T,,
2014/2015,4/4/2015,April,Arsenal,Liverpool,H,H,4,1,3,0,0,1,1,0,T,,
2014/2015,4/4/2015,April,Chelsea,Stoke,H,D,2,1,1,1,0,0,1,6,T,,
2014/2015,4/4/2015,April,Everton,Southampton,H,H,1,0,1,0,0,0,0,1,T,,
2014/2015,4/4/2015,April,Leicester,West Ham,H,D,2,1,1,1,0,0,0,3,T,,
2014/2015,4/4/2015,April,Man United,Aston Villa,H,H,3,1,1,0,0,0,0,1,T,,
2014/2015,4/4/2015,April,Swansea,Hull,H,H,3,1,2,0,0,1,1,5,T,,
2014/2015,4/4/2015,April,West Brom,QPR,A,A,1,4,0,3,1,0,2,3,T,,
2014/2015,4/5/2015,April,Burnley,Tottenham,D,D,0,0,0,0,0,0,2,0,T,,
2014/2015,4/5/2015,April,Sunderland,Newcastle,H,H,1,0,1,0,0,0,5,2,T,,
2014/2015,4/6/2015,April,Crystal Palace,Man City,H,H,2,1,1,0,0,0,2,1,T,,
2014/2015,4/7/2015,April,Aston Villa,QPR,D,H,3,3,2,1,0,0,0,4,T,,
2014/2015,4/11/2015,April,Burnley,Arsenal,A,A,0,1,0,1,0,0,2,0,T,,
2014/2015,4/11/2015,April,Southampton,Hull,H,D,2,0,0,0,0,0,2,0,T,,
2014/2015,4/11/2015,April,Sunderland,Crystal Palace,A,D,1,4,0,0,0,0,2,2,T,,
2014/2015,4/11/2015,April,Swansea,Everton,D,A,1,1,0,1,0,0,3,3,T,,
2014/2015,4/11/2015,April,Tottenham,Aston Villa,A,A,0,1,0,1,0,1,3,2,T,,
2014/2015,4/11/2015,April,West Brom,Leicester,A,H,2,3,2,1,0,0,2,2,T,,
2014/2015,4/11/2015,April,West Ham,Stoke,D,H,1,1,1,0,0,0,3,1,T,,
2014/2015,4/12/2015,April,Man United,Man City,H,H,4,2,2,1,0,0,0,3,T,,
2014/2015,4/12/2015,April,QPR,Chelsea,A,D,0,1,0,0,0,0,2,1,T,,
2014/2015,4/13/2015,April,Liverpool,Newcastle,H,H,2,0,1,0,0,1,2,0,T,,
2014/2015,4/18/2015,April,Chelsea,Man United,H,H,1,0,1,0,0,0,7,1,T,,
2014/2015,4/18/2015,April,Crystal Palace,West Brom,A,A,0,2,0,1,0,0,3,3,T,,
2014/2015,4/18/2015,April,Everton,Burnley,H,H,1,0,1,0,0,1,1,2,T,,
2014/2015,4/18/2015,April,Leicester,Swansea,H,H,2,0,1,0,0,0,0,2,T,,
2014/2015,4/18/2015,April,Stoke,Southampton,H,A,2,1,0,1,0,0,0,4,T,,
2014/2015,4/19/2015,April,Man City,West Ham,H,H,2,0,2,0,0,0,2,2,T,,
2014/2015,4/19/2015,April,Newcastle,Tottenham,A,A,1,3,0,1,0,0,2,4,T,,
2014/2015,4/25/2015,April,Burnley,Leicester,A,D,0,1,0,0,0,0,3,0,T,,
2014/2015,4/25/2015,April,Crystal Palace,Hull,A,D,0,2,0,0,0,0,0,0,T,,
2014/2015,4/25/2015,April,Man City,Aston Villa,H,H,3,2,1,0,0,0,1,2,T,,
2014/2015,4/25/2015,April,Newcastle,Swansea,A,D,2,3,1,1,0,0,1,2,T,,
2014/2015,4/25/2015,April,QPR,West Ham,D,D,0,0,0,0,0,0,1,0,T,,
2014/2015,4/25/2015,April,Southampton,Tottenham,D,D,2,2,1,1,0,0,1,3,T,,
2014/2015,4/25/2015,April,Stoke,Sunderland,D,D,1,1,1,1,0,0,2,3,T,,
2014/2015,4/25/2015,April,West Brom,Liverpool,D,D,0,0,0,0,0,0,1,0,T,,
2014/2015,4/26/2015,April,Arsenal,Chelsea,D,D,0,0,0,0,0,0,4,3,T,,
2014/2015,4/26/2015,April,Everton,Man United,H,H,3,0,2,0,0,0,0,2,T,,
2014/2015,4/28/2015,April,Hull,Liverpool,H,H,1,0,1,0,0,0,2,0,T,,
2014/2015,4/29/2015,April,Leicester,Chelsea,A,H,1,3,1,0,0,0,1,0,T,,
2014/2015,5/2/2015,May,Aston Villa,Everton,H,H,3,2,2,0,0,0,2,1,T,,
2014/2015,5/2/2015,May,Leicester,Newcastle,H,H,3,0,2,0,0,2,1,2,T,,
2014/2015,5/2/2015,May,Liverpool,QPR,H,H,2,1,1,0,0,1,2,3,T,,
2014/2015,5/2/2015,May,Man United,West Brom,A,D,0,1,0,0,0,0,1,0,T,,
2014/2015,5/2/2015,May,Sunderland,Southampton,H,D,2,1,1,1,0,1,2,2,T,,
2014/2015,5/2/2015,May,Swansea,Stoke,H,D,2,0,0,0,0,1,1,2,T,,
2014/2015,5/2/2015,May,West Ham,Burnley,H,H,1,0,1,0,0,1,3,2,T,,
2014/2015,5/3/2015,May,Chelsea,Crystal Palace,H,H,1,0,1,0,0,0,2,2,T,,
2014/2015,5/3/2015,May,Tottenham,Man City,A,A,0,1,0,1,0,0,3,4,T,,
2014/2015,5/4/2015,May,Hull,Arsenal,A,A,1,3,0,3,0,0,2,0,T,,
2014/2015,5/9/2015,May,Aston Villa,West Ham,H,H,1,0,1,0,0,0,1,1,T,,
2014/2015,5/9/2015,May,Crystal Palace,Man United,A,A,1,2,0,1,0,0,0,1,T,,
2014/2015,5/9/2015,May,Everton,Sunderland,A,D,0,2,0,0,0,0,2,3,T,,
2014/2015,5/9/2015,May,Hull,Burnley,A,D,0,1,0,0,0,0,1,1,T,,
2014/2015,5/9/2015,May,Leicester,Southampton,H,H,2,0,2,0,0,0,1,0,T,,
2014/2015,5/9/2015,May,Newcastle,West Brom,D,D,1,1,1,1,0,0,2,3,T,,
2014/2015,5/9/2015,May,Stoke,Tottenham,H,H,3,0,2,0,0,1,0,0,T,,
2014/2015,5/10/2015,May,Chelsea,Liverpool,D,D,1,1,1,1,0,0,4,3,T,,
2014/2015,5/10/2015,May,Man City,QPR,H,H,6,0,2,0,0,0,0,1,T,,
2014/2015,5/11/2015,May,Arsenal,Swansea,A,D,0,1,0,0,0,0,0,1,T,,
2014/2015,5/16/2015,May,Burnley,Stoke,D,D,0,0,0,0,0,0,1,2,T,,
2014/2015,5/16/2015,May,Liverpool,Crystal Palace,A,D,1,3,1,1,0,0,2,3,T,,
2014/2015,5/16/2015,May,QPR,Newcastle,H,A,2,1,0,1,0,0,2,0,T,,
2014/2015,5/16/2015,May,Southampton,Aston Villa,H,H,6,1,5,1,0,0,1,1,T,,
2014/2015,5/16/2015,May,Sunderland,Leicester,D,D,0,0,0,0,0,0,4,1,T,,
2014/2015,5/16/2015,May,Tottenham,Hull,H,D,2,0,0,0,0,0,3,1,T,,
2014/2015,5/16/2015,May,West Ham,Everton,A,D,1,2,0,0,0,0,1,4,T,,
2014/2015,5/17/2015,May,Man United,Arsenal,D,H,1,1,1,0,0,0,1,0,T,,
2014/2015,5/17/2015,May,Swansea,Man City,A,A,2,4,1,2,0,0,0,3,T,,
2014/2015,5/18/2015,May,West Brom,Chelsea,H,H,3,0,1,0,0,1,3,2,T,,
2014/2015,5/20/2015,May,Arsenal,Sunderland,D,D,0,0,0,0,0,0,1,0,T,,
2014/2015,5/24/2015,May,Arsenal,West Brom,H,H,4,1,4,0,0,0,1,0,T,,
2014/2015,5/24/2015,May,Aston Villa,Burnley,A,A,0,1,0,1,0,0,1,2,T,,
2014/2015,5/24/2015,May,Chelsea,Sunderland,H,D,3,1,1,1,0,0,2,1,T,,
2014/2015,5/24/2015,May,Crystal Palace,Swansea,H,D,1,0,0,0,0,0,3,0,T,,
2014/2015,5/24/2015,May,Everton,Tottenham,A,A,0,1,0,1,0,0,1,2,T,,
2014/2015,5/24/2015,May,Hull,Man United,D,D,0,0,0,0,0,1,2,2,T,,
2014/2015,5/24/2015,May,Leicester,QPR,H,H,5,1,2,0,0,0,0,0,T,,
2014/2015,5/24/2015,May,Man City,Southampton,H,H,2,0,1,0,0,0,1,1,T,,
2014/2015,5/24/2015,May,Newcastle,West Ham,H,D,2,0,0,0,0,0,2,1,T,,
2014/2015,5/24/2015,May,Stoke,Liverpool,H,H,6,1,5,0,0,0,4,2,T,,
2015/2016,8/8/2015,August,Bournemouth,Aston Villa,A,D,0,1,0,0,0,0,3,4,T,,
2015/2016,8/8/2015,August,Chelsea,Swansea,D,H,2,2,2,1,1,0,1,3,T,,
2015/2016,8/8/2015,August,Everton,Watford,D,A,2,2,0,1,0,0,1,2,T,,
2015/2016,8/8/2015,August,Leicester,Sunderland,H,H,4,2,3,0,0,0,2,4,T,,
2015/2016,8/8/2015,August,Man United,Tottenham,H,H,1,0,1,0,0,0,2,3,T,,
2015/2016,8/8/2015,August,Norwich,Crystal Palace,A,A,1,3,0,1,0,0,1,0,T,,
2015/2016,8/9/2015,August,Arsenal,West Ham,A,A,0,2,0,1,0,0,1,3,T,,
2015/2016,8/9/2015,August,Newcastle,Southampton,D,D,2,2,1,1,0,0,2,4,T,,
2015/2016,8/9/2015,August,Stoke,Liverpool,A,D,0,1,0,0,0,0,2,4,T,,
2015/2016,8/10/2015,August,West Brom,Man City,A,A,0,3,0,2,0,0,4,1,T,,
2015/2016,8/14/2015,August,Aston Villa,Man United,A,A,0,1,0,1,0,0,2,2,T,,
2015/2016,8/15/2015,August,Southampton,Everton,A,A,0,3,0,2,0,0,4,2,T,,
2015/2016,8/15/2015,August,Sunderland,Norwich,A,A,1,3,0,2,0,0,1,2,T,,
2015/2016,8/15/2015,August,Swansea,Newcastle,H,H,2,0,1,0,0,1,2,1,T,,
2015/2016,8/15/2015,August,Tottenham,Stoke,D,H,2,2,2,0,0,0,2,2,T,,
2015/2016,8/15/2015,August,Watford,West Brom,D,D,0,0,0,0,0,0,1,2,T,,
2015/2016,8/15/2015,August,West Ham,Leicester,A,A,1,2,0,2,1,0,1,3,T,,
2015/2016,8/16/2015,August,Crystal Palace,Arsenal,A,D,1,2,1,1,0,0,1,1,T,,
2015/2016,8/16/2015,August,Man City,Chelsea,H,H,3,0,1,0,0,0,4,2,T,,
2015/2016,8/17/2015,August,Liverpool,Bournemouth,H,H,1,0,1,0,0,0,1,4,T,,
2015/2016,8/22/2015,August,Crystal Palace,Aston Villa,H,D,2,1,0,0,0,0,3,3,T,,
2015/2016,8/22/2015,August,Leicester,Tottenham,D,D,1,1,0,0,0,0,1,4,T,,
2015/2016,8/22/2015,August,Man United,Newcastle,D,D,0,0,0,0,0,0,2,2,T,,
2015/2016,8/22/2015,August,Norwich,Stoke,D,D,1,1,1,1,0,0,4,1,T,,
2015/2016,8/22/2015,August,Sunderland,Swansea,D,A,1,1,0,1,0,0,4,2,T,,
2015/2016,8/22/2015,August,West Ham,Bournemouth,A,A,3,4,0,2,1,0,0,0,T,,
2015/2016,8/23/2015,August,Everton,Man City,A,D,0,2,0,0,0,0,0,3,T,,
2015/2016,8/23/2015,August,Watford,Southampton,D,D,0,0,0,0,0,0,0,2,T,,
2015/2016,8/23/2015,August,West Brom,Chelsea,A,A,2,3,1,3,0,1,2,1,T,,
2015/2016,8/24/2015,August,Arsenal,Liverpool,D,D,0,0,0,0,0,0,1,4,T,,
2015/2016,8/29/2015,August,Aston Villa,Sunderland,D,H,2,2,2,1,0,0,2,1,T,,
2015/2016,8/29/2015,August,Bournemouth,Leicester,D,H,1,1,1,0,0,0,2,4,T,,
2015/2016,8/29/2015,August,Chelsea,Crystal Palace,A,D,1,2,0,0,0,0,1,1,T,,
2015/2016,8/29/2015,August,Liverpool,West Ham,A,A,0,3,0,2,1,1,3,1,T,,
2015/2016,8/29/2015,August,Man City,Watford,H,D,2,0,0,0,0,0,1,2,T,,
2015/2016,8/29/2015,August,Newcastle,Arsenal,A,D,0,1,0,0,1,0,6,1,T,,
2015/2016,8/29/2015,August,Stoke,West Brom,A,A,0,1,0,1,2,0,1,4,T,,
2015/2016,8/29/2015,August,Tottenham,Everton,D,D,0,0,0,0,0,0,4,1,T,,
2015/2016,8/30/2015,August,Southampton,Norwich,H,H,3,0,1,0,0,1,0,0,T,,
2015/2016,8/30/2015,August,Swansea,Man United,H,D,2,1,0,0,0,0,2,2,T,,
2015/2016,9/12/2015,September,Arsenal,Stoke,H,H,2,0,1,0,0,0,1,1,T,,
2015/2016,9/12/2015,September,Crystal Palace,Man City,A,D,0,1,0,0,0,0,2,3,T,,
2015/2016,9/12/2015,September,Everton,Chelsea,H,H,3,1,2,1,0,0,2,2,T,,
2015/2016,9/12/2015,September,Man United,Liverpool,H,D,3,1,0,0,0,0,1,2,T,,
2015/2016,9/12/2015,September,Norwich,Bournemouth,H,H,3,1,1,0,0,0,2,3,T,,
2015/2016,9/12/2015,September,Watford,Swansea,H,D,1,0,0,0,1,0,1,1,T,,
2015/2016,9/12/2015,September,West Brom,Southampton,D,D,0,0,0,0,0,0,1,0,T,,
2015/2016,9/13/2015,September,Leicester,Aston Villa,H,A,3,2,0,1,0,0,2,1,T,,
2015/2016,9/13/2015,September,Sunderland,Tottenham,A,D,0,1,0,0,0,0,2,1,T,,
2015/2016,9/14/2015,September,West Ham,Newcastle,H,H,2,0,1,0,0,0,0,2,T,,
2015/2016,9/19/2015,September,Aston Villa,West Brom,A,A,0,1,0,1,0,0,2,3,T,,
2015/2016,9/19/2015,September,Bournemouth,Sunderland,H,H,2,0,2,0,0,1,2,4,T,,
2015/2016,9/19/2015,September,Chelsea,Arsenal,H,D,2,0,0,0,0,2,3,1,T,,
2015/2016,9/19/2015,September,Man City,West Ham,A,A,1,2,1,2,0,0,1,2,T,,
2015/2016,9/19/2015,September,Newcastle,Watford,A,A,1,2,0,2,0,0,1,2,T,,
2015/2016,9/19/2015,September,Stoke,Leicester,D,H,2,2,2,0,0,0,1,4,T,,
2015/2016,9/19/2015,September,Swansea,Everton,D,D,0,0,0,0,0,1,2,2,T,,
2015/2016,9/20/2015,September,Liverpool,Norwich,D,D,1,1,0,0,0,0,1,2,T,,
2015/2016,9/20/2015,September,Southampton,Man United,A,D,2,3,1,1,0,0,2,0,T,,
2015/2016,9/20/2015,September,Tottenham,Crystal Palace,H,D,1,0,0,0,0,0,1,2,T,,
2015/2016,9/26/2015,September,Leicester,Arsenal,A,A,2,5,1,2,0,0,1,1,T,,
2015/2016,9/26/2015,September,Liverpool,Aston Villa,H,H,3,2,1,0,0,0,0,0,T,,
2015/2016,9/26/2015,September,Man United,Sunderland,H,H,3,0,1,0,0,0,0,3,T,,
2015/2016,9/26/2015,September,Newcastle,Chelsea,D,H,2,2,1,0,0,0,1,2,T,,
2015/2016,9/26/2015,September,Southampton,Swansea,H,H,3,1,1,0,0,0,3,1,T,,
2015/2016,9/26/2015,September,Stoke,Bournemouth,H,H,2,1,1,0,0,0,1,0,T,,
2015/2016,9/26/2015,September,Tottenham,Man City,H,D,4,1,1,1,0,0,5,1,T,,
2015/2016,9/26/2015,September,West Ham,Norwich,D,D,2,2,1,1,0,0,0,0,T,,
2015/2016,9/27/2015,September,Watford,Crystal Palace,A,D,0,1,0,0,0,0,4,4,T,,
2015/2016,9/28/2015,September,West Brom,Everton,A,H,2,3,1,0,0,0,0,3,T,,
2015/2016,10/3/2015,October,Aston Villa,Stoke,A,D,0,1,0,0,0,0,1,0,T,,
2015/2016,10/3/2015,October,Bournemouth,Watford,D,D,1,1,1,1,0,0,1,1,T,,
2015/2016,10/3/2015,October,Chelsea,Southampton,A,D,1,3,1,1,0,0,2,5,T,,
2015/2016,10/3/2015,October,Crystal Palace,West Brom,H,D,2,0,0,0,0,0,3,3,T,,
2015/2016,10/3/2015,October,Man City,Newcastle,H,D,6,1,1,1,0,0,3,1,T,,
2015/2016,10/3/2015,October,Norwich,Leicester,A,A,1,2,0,1,0,0,0,1,T,,
2015/2016,10/3/2015,October,Sunderland,West Ham,D,H,2,2,2,1,1,0,2,4,T,,
2015/2016,10/4/2015,October,Arsenal,Man United,H,H,3,0,3,0,0,0,1,3,T,,
2015/2016,10/4/2015,October,Everton,Liverpool,D,D,1,1,1,1,0,0,3,3,T,,
2015/2016,10/4/2015,October,Swansea,Tottenham,D,H,2,2,2,1,0,0,1,4,T,,
2015/2016,10/17/2015,October,Chelsea,Aston Villa,H,H,2,0,1,0,0,0,1,3,T,,
2015/2016,10/17/2015,October,Crystal Palace,West Ham,A,D,1,3,1,1,1,0,1,3,T,,
2015/2016,10/17/2015,October,Everton,Man United,A,A,0,3,0,2,0,0,2,2,T,,
2015/2016,10/17/2015,October,Man City,Bournemouth,H,H,5,1,4,1,0,0,2,1,T,,
2015/2016,10/17/2015,October,Southampton,Leicester,D,H,2,2,2,0,0,0,2,0,T,,
2015/2016,10/17/2015,October,Tottenham,Liverpool,D,D,0,0,0,0,0,0,1,2,T,,
2015/2016,10/17/2015,October,Watford,Arsenal,A,D,0,3,0,0,0,0,2,1,T,,
2015/2016,10/17/2015,October,West Brom,Sunderland,H,D,1,0,0,0,0,0,2,2,T,,
2015/2016,10/18/2015,October,Newcastle,Norwich,H,H,6,2,3,2,0,0,1,1,T,,
2015/2016,10/19/2015,October,Swansea,Stoke,A,A,0,1,0,1,0,0,2,2,T,,
2015/2016,10/24/2015,October,Arsenal,Everton,H,H,2,1,2,1,0,1,2,0,T,,
2015/2016,10/24/2015,October,Aston Villa,Swansea,A,D,1,2,0,0,0,0,2,3,T,,
2015/2016,10/24/2015,October,Leicester,Crystal Palace,H,D,1,0,0,0,0,0,3,1,T,,
2015/2016,10/24/2015,October,Norwich,West Brom,A,D,0,1,0,0,0,0,1,2,T,,
2015/2016,10/24/2015,October,Stoke,Watford,A,A,0,2,0,1,0,0,3,1,T,,
2015/2016,10/24/2015,October,West Ham,Chelsea,H,H,2,1,1,0,0,1,1,5,T,,
2015/2016,10/25/2015,October,Bournemouth,Tottenham,A,A,1,5,1,3,0,0,0,1,T,,
2015/2016,10/25/2015,October,Liverpool,Southampton,D,D,1,1,0,0,0,1,1,0,T,,
2015/2016,10/25/2015,October,Man United,Man City,D,D,0,0,0,0,0,0,2,2,T,,
2015/2016,10/25/2015,October,Sunderland,Newcastle,H,H,3,0,1,0,0,1,0,2,T,,
2015/2016,10/31/2015,October,Chelsea,Liverpool,A,D,1,3,1,1,0,0,1,4,T,,
2015/2016,10/31/2015,October,Crystal Palace,Man United,D,D,0,0,0,0,0,0,3,3,T,,
2015/2016,10/31/2015,October,Man City,Norwich,H,D,2,1,0,0,0,1,2,2,T,,
2015/2016,10/31/2015,October,Newcastle,Stoke,D,D,0,0,0,0,0,0,1,3,T,,
2015/2016,10/31/2015,October,Swansea,Arsenal,A,D,0,3,0,0,0,0,2,0,T,,
2015/2016,10/31/2015,October,Watford,West Ham,H,H,2,0,1,0,0,1,3,0,T,,
2015/2016,10/31/2015,October,West Brom,Leicester,A,H,2,3,1,0,0,0,0,2,T,,
2015/2016,11/1/2015,November,Everton,Sunderland,H,H,6,2,2,1,0,0,3,2,T,,
2015/2016,11/1/2015,November,Southampton,Bournemouth,H,H,2,0,2,0,1,0,0,2,T,,
2015/2016,11/2/2015,November,Tottenham,Aston Villa,H,H,3,1,2,0,0,0,0,3,T,,
2015/2016,11/7/2015,November,Bournemouth,Newcastle,A,A,0,1,0,1,0,0,2,2,T,,
2015/2016,11/7/2015,November,Leicester,Watford,H,D,2,1,0,0,0,0,0,1,T,,
2015/2016,11/7/2015,November,Man United,West Brom,H,D,2,0,0,0,0,1,1,3,T,,
2015/2016,11/7/2015,November,Norwich,Swansea,H,D,1,0,0,0,0,0,1,0,T,,
2015/2016,11/7/2015,November,Stoke,Chelsea,H,D,1,0,0,0,0,0,3,1,T,,
2015/2016,11/7/2015,November,Sunderland,Southampton,A,D,0,1,0,0,0,0,1,3,T,,
2015/2016,11/7/2015,November,West Ham,Everton,D,D,1,1,1,1,0,0,1,2,T,,
2015/2016,11/8/2015,November,Arsenal,Tottenham,D,A,1,1,0,1,0,0,0,1,T,,
2015/2016,11/8/2015,November,Aston Villa,Man City,D,D,0,0,0,0,0,0,1,1,T,,
2015/2016,11/8/2015,November,Liverpool,Crystal Palace,A,D,1,2,1,1,0,0,1,2,T,,
2015/2016,11/21/2015,November,Chelsea,Norwich,H,D,1,0,0,0,0,0,1,4,T,,
2015/2016,11/21/2015,November,Everton,Aston Villa,H,H,4,0,3,0,0,0,0,0,T,,
2015/2016,11/21/2015,November,Man City,Liverpool,A,A,1,4,1,3,0,0,0,3,T,,
2015/2016,11/21/2015,November,Newcastle,Leicester,A,A,0,3,0,1,0,0,4,1,T,,
2015/2016,11/21/2015,November,Southampton,Stoke,A,A,0,1,0,1,0,0,2,0,T,,
2015/2016,11/21/2015,November,Swansea,Bournemouth,D,D,2,2,2,2,0,0,3,2,T,,
2015/2016,11/21/2015,November,Watford,Man United,A,A,1,2,0,1,0,0,1,2,T,,
2015/2016,11/21/2015,November,West Brom,Arsenal,H,H,2,1,2,1,0,0,3,2,T,,
2015/2016,11/22/2015,November,Tottenham,West Ham,H,H,4,1,2,0,0,0,2,2,T,,
2015/2016,11/23/2015,November,Crystal Palace,Sunderland,A,D,0,1,0,0,0,0,1,3,T,,
2015/2016,11/28/2015,November,Aston Villa,Watford,A,D,2,3,1,1,0,0,2,3,T,,
2015/2016,11/28/2015,November,Bournemouth,Everton,D,A,3,3,0,2,0,0,2,0,T,,
2015/2016,11/28/2015,November,Crystal Palace,Newcastle,H,H,5,1,3,1,0,0,1,1,T,,
2015/2016,11/28/2015,November,Leicester,Man United,D,D,1,1,1,1,0,0,0,1,T,,
2015/2016,11/28/2015,November,Man City,Southampton,H,H,3,1,2,0,0,0,2,1,T,,
2015/2016,11/28/2015,November,Sunderland,Stoke,H,D,2,0,0,0,0,1,0,2,T,,
2015/2016,11/29/2015,November,Liverpool,Swansea,H,D,1,0,0,0,0,0,3,1,T,,
2015/2016,11/29/2015,November,Norwich,Arsenal,D,D,1,1,1,1,0,0,1,1,T,,
2015/2016,11/29/2015,November,Tottenham,Chelsea,D,D,0,0,0,0,0,0,4,2,T,,
2015/2016,11/29/2015,November,West Ham,West Brom,D,H,1,1,1,0,0,0,0,2,T,,
2015/2016,12/5/2015,December,Arsenal,Sunderland,H,D,3,1,1,1,0,0,1,1,T,,
2015/2016,12/5/2015,December,Chelsea,Bournemouth,A,D,0,1,0,0,0,0,2,1,T,,
2015/2016,12/5/2015,December,Man United,West Ham,D,D,0,0,0,0,0,0,1,0,T,,
2015/2016,12/5/2015,December,Southampton,Aston Villa,D,A,1,1,0,1,0,0,1,2,T,,
2015/2016,12/5/2015,December,Stoke,Man City,H,H,2,0,2,0,0,0,0,1,T,,
2015/2016,12/5/2015,December,Swansea,Leicester,A,A,0,3,0,2,0,0,2,3,T,,
2015/2016,12/5/2015,December,Watford,Norwich,H,H,2,0,1,0,0,0,3,3,T,,
2015/2016,12/5/2015,December,West Brom,Tottenham,D,D,1,1,1,1,0,0,3,2,T,,
2015/2016,12/6/2015,December,Newcastle,Liverpool,H,D,2,0,0,0,0,0,3,1,T,,
2015/2016,12/7/2015,December,Everton,Crystal Palace,D,D,1,1,0,0,0,0,1,2,T,,
2015/2016,12/12/2015,December,Bournemouth,Man United,H,D,2,1,1,1,0,0,2,1,T,,
2015/2016,12/12/2015,December,Crystal Palace,Southampton,H,H,1,0,1,0,0,0,0,0,T,,
2015/2016,12/12/2015,December,Man City,Swansea,H,H,2,1,1,0,0,0,3,1,T,,
2015/2016,12/12/2015,December,Norwich,Everton,D,A,1,1,0,1,0,0,1,0,T,,
2015/2016,12/12/2015,December,Sunderland,Watford,A,A,0,1,0,1,0,0,1,0,T,,
2015/2016,12/12/2015,December,West Ham,Stoke,D,D,0,0,0,0,0,0,1,2,T,,
2015/2016,12/13/2015,December,Aston Villa,Arsenal,A,A,0,2,0,2,0,0,0,0,T,,
2015/2016,12/13/2015,December,Liverpool,West Brom,D,D,2,2,1,1,0,0,0,0,T,,
2015/2016,12/13/2015,December,Tottenham,Newcastle,A,H,1,2,1,0,0,0,2,2,T,,
2015/2016,12/14/2015,December,Leicester,Chelsea,H,H,2,1,1,0,0,0,2,0,T,,
2015/2016,12/19/2015,December,Chelsea,Sunderland,H,H,3,1,2,0,0,0,1,3,T,,
2015/2016,12/19/2015,December,Everton,Leicester,A,D,2,3,1,1,0,0,2,1,T,,
2015/2016,12/19/2015,December,Man United,Norwich,A,A,1,2,0,1,0,0,0,2,T,,
2015/2016,12/19/2015,December,Newcastle,Aston Villa,D,H,1,1,1,0,0,0,1,3,T,,
2015/2016,12/19/2015,December,Southampton,Tottenham,A,A,0,2,0,2,0,0,1,1,T,,
2015/2016,12/19/2015,December,Stoke,Crystal Palace,A,A,1,2,0,1,0,0,2,0,T,,
2015/2016,12/19/2015,December,West Brom,Bournemouth,A,D,1,2,0,0,2,0,2,1,T,,
2015/2016,12/20/2015,December,Swansea,West Ham,D,D,0,0,0,0,0,0,0,1,T,,
2015/2016,12/20/2015,December,Watford,Liverpool,H,H,3,0,2,0,0,0,1,0,T,,
2015/2016,12/21/2015,December,Arsenal,Man City,H,H,2,1,2,0,0,0,0,2,T,,
2015/2016,12/26/2015,December,Aston Villa,West Ham,D,A,1,1,0,1,0,0,3,3,T,,
